vano;mes;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_cvli;indicador_roubo_rua;indicador_roubo_veic;indicador_roubo_carga;registro_ocorrencias;fase
2003;3;7;2;0;1;10;6;123;4;0;38;14;6;32;3;26;15;0;0;15;1;6; ;14;132;31;9;1;2; ;88;131;0;1;0;7;5; ; ; ;33; ; ; ; ;157;5;2;0;0;0;9;56;32;3;700;3
2003;3;9;0;0;1;10;4;64;1;2;33;3;4;16;3;13;16;0;0;6;0;0; ;9;70;24;2;0;4; ;45;75;0;0;0;9;4; ; ; ;42; ; ; ; ;77;1;1;0;0;0;9;35;16;3;391;3
2003;3;18;0;1;1;20;4;124;4;3;39;6;3;32;1;35;37;0;0;12;0;7; ;27;160;18;5;2;4; ;78;107;0;0;0;3;16; ; ; ;27; ; ; ; ;131;8;1;0;0;0;19;84;32;1;649;3
2003;3;2;0;1;0;3;5;42;1;1;25;2;0;9;2;3;10;0;0;1;0;1; ;5;33;4;0;1;2; ;30;37;0;0;0;1;2; ; ; ;13; ; ; ; ;45;3;0;0;0;0;3;14;9;2;217;3
2003;3;8;0;0;1;9;1;54;4;3;26;27;1;16;3;53;26;1;0;27;1;10; ;14;179;49;54;0;17; ;117;237;0;1;0;14;4; ; ; ;15; ; ; ; ;47;4;2;0;0;0;8;106;16;3;650;3
2003;3;0;0;0;1;1;0;26;1;2;12;14;1;25;2;13;15;0;0;19;0;2; ;22;113;82;7;0;12; ;69;170;0;0;0;5;8; ; ; ;11; ; ; ; ;39;1;0;0;0;0;0;47;25;2;416;3
2003;3;9;0;0;2;11;2;68;8;1;22;11;3;29;1;18;21;0;0;6;0;1; ;20;110;18;5;0;3; ;50;76;0;0;0;2;17; ; ; ;37; ; ; ; ;59;5;2;0;1;0;9;45;29;1;444;3
2003;3;3;0;0;0;3;5;54;0;2;23;2;1;10;1;5;7;0;0;4;2;0; ;9;41;8;2;0;0; ;35;45;0;0;0;8;3; ; ; ;10; ; ; ; ;39;1;1;0;0;0;3;16;10;1;230;3
2003;3;3;0;0;0;3;1;53;2;1;9;4;4;8;0;3;4;0;0;3;1;0; ;13;40;27;6;0;3; ;54;90;0;0;0;5;2; ; ; ;12; ; ; ; ;37;4;1;0;0;0;3;10;8;0;264;3
2003;3;3;0;0;0;3;5;62;1;3;25;5;3;11;1;1;4;0;0;1;0;1; ;8;35;6;1;0;8; ;79;94;0;0;0;4;2; ; ; ;7; ; ; ; ;70;5;1;0;0;0;3;6;11;1;363;3
2003;3;0;0;0;0;0;1;58;1;1;23;1;1;2;1;2;1;0;0;0;0;0; ;3;11;0;3;0;1; ;21;25;0;1;0;2;0; ; ; ;2; ; ; ; ;44;3;0;0;0;0;0;3;2;1;168;3
2003;3;3;0;0;0;3;5;74;1;1;32;11;1;4;2;13;3;0;0;0;0;0; ;8;42;7;3;2;0; ;93;105;0;0;0;5;8; ; ; ;7; ; ; ; ;106;4;0;0;0;0;3;16;4;2;435;3
2003;3;6;0;0;0;6;2;79;4;1;13;12;1;6;2;8;2;0;0;2;0;2; ;6;41;8;1;0;1; ;63;73;0;0;0;8;19; ; ; ;10; ; ; ; ;58;6;0;0;0;0;6;12;6;2;351;3
2003;3;0;0;0;0;0;0;57;1;0;12;0;0;0;0;0;0;0;0;0;0;0; ;0;0;2;3;0;0; ;43;48;0;0;0;5;6; ; ; ;0; ; ; ; ;19;11;0;0;0;0;0;0;0;0;177;3
2003;3;0;0;0;0;0;0;10;2;0;3;0;0;0;0;0;0;0;0;0;0;0; ;0;0;0;0;0;0; ;2;2;0;0;0;0;0; ; ; ;0; ; ; ; ;7;0;0;0;0;0;0;0;0;0;20;3
2003;3;8;1;0;0;9;11;144;6;3;53;18;3;12;5;9;7;1;0;4;0;2; ;6;67;24;14;0;7; ;153;198;0;0;0;12;27; ; ; ;20; ; ; ; ;143;13;0;0;0;0;9;20;12;5;751;3
2003;3;0;0;1;0;1;0;32;2;3;10;0;0;5;3;0;0;0;0;0;0;0; ;2;10;0;0;0;0; ;21;21;0;0;0;2;8; ; ; ;5; ; ; ; ;17;0;0;0;0;0;1;0;5;3;106;3
2003;3;0;0;0;0;0;0;43;0;2;6;0;0;1;0;1;0;0;0;0;0;0; ;2;4;1;0;0;0; ;16;17;0;0;0;0;2; ; ; ;0; ; ; ; ;30;1;0;0;0;0;0;1;1;0;102;3
2003;3;1;0;0;0;1;0;26;2;0;12;1;2;0;0;0;0;0;0;0;0;0; ;1;4;3;0;0;2; ;30;35;0;0;0;1;2; ; ; ;0; ; ; ; ;23;1;0;0;0;0;1;0;0;0;125;3
2003;3;0;0;0;0;0;0;26;0;0;4;0;1;0;0;1;0;0;0;0;0;0; ;0;2;1;0;0;0; ;5;6;0;0;0;0;4; ; ; ;0; ; ; ; ;15;1;0;0;0;0;0;1;0;0;67;3
